Date,Cases,Deaths,Recoveries
01-22-20,1,0,0
01-23-20,1,0,0
01-24-20,2,0,0
01-25-20,2,0,0
01-26-20,5,0,0
01-27-20,5,0,0
01-28-20,5,0,0
01-29-20,5,0,0
01-30-20,5,0,0
01-31-20,7,0,0
02-01-20,8,0,0
02-02-20,8,0,0
02-03-20,11,0,0
02-04-20,11,0,0
02-05-20,11,0,0
02-06-20,11,0,0
02-07-20,11,0,0
02-08-20,11,0,0
02-09-20,11,0,3
02-10-20,11,0,3
02-11-20,12,0,3
02-12-20,12,0,3
02-13-20,13,0,3
02-14-20,13,0,3
02-15-20,13,0,3
02-16-20,13,0,3
02-17-20,13,0,3
02-18-20,13,0,3
02-19-20,13,0,3
02-20-20,13,0,3
02-21-20,15,0,5
02-22-20,15,0,5
02-23-20,15,0,5
02-24-20,51,0,5
02-25-20,51,0,6
02-26-20,57,0,6
02-27-20,58,0,6
02-28-20,60,0,7
02-29-20,68,1,7
03-01-20,74,1,7
03-02-20,98,6,7
03-03-20,118,7,7
03-04-20,149,11,7
03-05-20,217,12,7
03-06-20,262,14,7
03-07-20,402,17,7
03-08-20,518,21,7
03-09-20,583,22,7
03-10-20,959,28,8
03-11-20,1281,36,8
03-12-20,1663,41,12
03-13-20,2179,49,12
03-14-20,2727,58,12
03-15-20,3499,73,12
03-16-20,4632,99,17
03-17-20,6421,133,17
03-18-20,7783,164,105
03-19-20,13747,258,121
03-20-20,19273,349,147
03-21-20,25600,442,176
03-22-20,33276,586,178
03-23-20,43843,786,178
03-24-20,53736,1008,348
03-25-20,65778,1316,361
03-26-20,83836,1726,681
03-27-20,101657,2265,869
03-28-20,121465,2731,1072
03-29-20,140909,3420,2665
03-30-20,161831,4192,5644
03-31-20,188172,5367,7024
04-01-20,213242,6501,8474
04-02-20,243622,7921,9001
04-03-20,275367,9246,9707
04-04-20,308650,10855,14652
04-05-20,336802,12375,17448
04-06-20,366317,13894,19581
04-07-20,397121,16191,21763
04-08-20,428654,18270,23559
04-09-20,462780,20255,25410
04-10-20,496535,22333,28790
04-11-20,526396,24342,31270
04-12-20,555313,26086,32988
04-13-20,580619,27870,43482
04-14-20,607670,30262,47763
04-15-20,636350,32734,52096
04-16-20,667592,34827,54703
04-17-20,699706,37411,58545
04-18-20,732197,39753,64840
04-19-20,758809,40945,70337
04-20-20,784326,42659,72329
04-21-20,811865,45086,75204
04-22-20,840351,47412,77366
04-23-20,869170,49724,80203
04-24-20,905358,51493,99079
04-25-20,938154,53755,100372
04-26-20,965785,54881,106988
04-27-20,988197,56259,111424
04-28-20,1012582,58355,115936
04-29-20,1039909,60967,120720
